State,~~~Pet Peeve #1~~~,~~~Pet Peeve #2~~~,~~~Pet Peeve #3~~~
Alabama,Finding a dog sitter,Walking/exercising my dog,Finding dog-friendly hotels
Alaska,Finding a dog sitter,Finding dog-friendly hotels,Walking/exercising my dog
Arizona,Finding a dog sitter,The cost of owning a dog,Excessive barking
Arkansas,Finding a dog sitter,Excessive barking,Excessive shedding
California,Walking/exercising my dog,Finding a dog sitter,Finding dog-friendly hotels
Colorado,Finding a dog sitter,Finding dog-friendly hotels,Walking/exercising my dog
Connecticut,Finding a dog sitter,Finding dog-friendly hotels,The cost of owning a dog
Delaware,Walking/exercising my dog,Finding a dog sitter,Finding dog-friendly hotels
Florida,Walking/exercising my dog,Finding dog-friendly hotels,Finding a dog sitter
Georgia,Finding dog-friendly hotels,Walking/exercising my dog,Finding a dog sitter
Hawaii,Finding a dog sitter,The cost of owning a dog,Finding dog-friendly hotels
Idaho,Finding a dog sitter,Excessive barking,Excessive shedding
Illinois,Finding a dog sitter,Finding dog-friendly hotels,The cost of owning a dog
Indiana,Finding a dog sitter,Picking up my dog's waste,Excessive barking
Iowa,Finding a dog sitter,Walking/exercising my dog,Finding dog-friendly hotels
Kansas,Finding a dog sitter,Walking/exercising my dog,Excessive shedding
Kentucky,Finding a dog sitter,Excessive barking,Excessive shedding
Louisiana,Finding a dog sitter,Finding dog-friendly hotels,Excessive shedding
Maine,Finding a dog sitter,Excessive barking,Finding dog-friendly hotels/Cost of owning a dog
Maryland,Finding a dog sitter,Finding dog-friendly hotels,Walking/exercising my dog
Massachusetts,Finding a dog sitter,The cost of owning a dog,Walking/exercising my dog
Michigan,Finding a dog sitter,The cost of owning a dog,Picking up my dog's waste
Minnesota,Finding a dog sitter,The cost of owning a dog,Finding dog-friendly hotels
Mississippi,Finding a dog sitter,The cost of owning a dog/Excessive barking,Excessive shedding
Missouri,Finding a dog sitter,Excessive shedding,Excessive barking
Montana,Finding a dog sitter,Picking up my dog's waste,Finding dog-friendly hotels
Nebraska,Finding a dog sitter,Excessive barking,Excessive shedding
Nevada,Finding a dog sitter,The cost of owning a dog/Excessive barking,Finding dog-friendly hotels
New Hampshire,Finding a dog sitter,Excessive barking,Excessive shedding
New Jersey,Finding a dog sitter,Finding dog-friendly hotels,The cost of owning a dog
New Mexico,Finding a dog sitter,Excessive barking,Excessive shedding
New York,Walking/exercising my dog,Finding a dog sitter,Finding dog-friendly hotels
North Carolina,Finding a dog sitter,The cost of owning a dog,Finding dog-friendly hotels
North Dakota,Finding a dog sitter,Excessive shedding,Excessive barking
Ohio,Finding a dog sitter,Excessive shedding,Excessive barking
Oklahoma,Finding a dog sitter,Excessive barking,The cost of owning a dog
Oregon,Finding a dog sitter,Picking up my dog's waste,Excessive barking
Pennsylvania,Walking/exercising my dog,Finding a dog sitter,The cost of owning a dog
Rhode Island,Finding a dog sitter,Walking/exercising my dog,The cost of owning a dog
South Carolina,Finding a dog sitter,The cost of owning a dog,Finding dog-friendly hotels
South Dakota,Finding a dog sitter,The cost of owning a dog,Excessive shedding
Tennessee,Finding a dog sitter,Excessive shedding,Excessive barking
Texas,Finding a dog sitter,Walking/exercising my dog,Finding dog-friendly hotels
Utah,Finding a dog sitter,Excessive barking,Finding dog-friendly hotels
Vermont,Finding a dog sitter,The cost of owning a dog/Excessive shedding,Excessive barking
Virginia,Finding a dog sitter,Finding dog-friendly hotels,The cost of owning a dog
Washington,Walking/exercising my dog,Finding a dog sitter,The cost of owning a dog
West Virginia,Finding a dog sitter,Finding dog-friendly hotels,The cost of owning a dog
Wisconsin,Finding a dog sitter,Excessive barking,The cost of owning a dog
Wyoming,Finding a dog sitter,Finding dog-friendly hotels,Excessive barking
